scenario,description,counterfactual_class,counterfactual_level,counterfactual,irrigation,additional_extension,sowing_window_shift,fertilizer,temperature,rainfall,ensemble_member,climate_anomalies,cereal_prodn_pctile,cereal_prodn_tercile
S1_IRRI_ir06_E24,Backcast 30 Apr 2018,Irrigation,Irrigated area=6%,2018 landuse+irrigated area=6%,0.06,0,0,0,0,0,24,"cool,dry",0.55,Middle tercile
S1_IRRI_ir06_E25,Backcast 30 Apr 2018,Irrigation,Irrigated area=6%,2018 landuse+irrigated area=6%,0.06,0,0,0,0,0,25,"cool,dry",0.94,High tercile
S1_IRRI_ir06_E26,Backcast 30 Apr 2018,Irrigation,Irrigated area=6%,2018 landuse+irrigated area=6%,0.06,0,0,0,0,0,26,midrange,0.82,High tercile
S1_IRRI_ir06_E27,Backcast 30 Apr 2018,Irrigation,Irrigated area=6%,2018 landuse+irrigated area=6%,0.06,0,0,0,0,0,27,midrange,0.73,High tercile
S1_IRRI_ir06_E28,Backcast 30 Apr 2018,Irrigation,Irrigated area=6%,2018 landuse+irrigated area=6%,0.06,0,0,0,0,0,28,"warm,dry",0.79,High tercile
S1_IRRI_ir06_E29,Backcast 30 Apr 2018,Irrigation,Irrigated area=6%,2018 landuse+irrigated area=6%,0.06,0,0,0,0,0,29,midrange,0.91,High tercile
S1_IRRI_ir06_E30,Backcast 30 Apr 2018,Irrigation,Irrigated area=6%,2018 landuse+irrigated area=6%,0.06,0,0,0,0,0,30,"cool,wet",0.42,Middle tercile
S1_IRRI_ir06_E31,Backcast 30 Apr 2018,Irrigation,Irrigated area=6%,2018 landuse+irrigated area=6%,0.06,0,0,0,0,0,31,"cool,dry",0.39,Middle tercile
S1_IRRI_ir06_E32,Backcast 30 Apr 2018,Irrigation,Irrigated area=6%,2018 landuse+irrigated area=6%,0.06,0,0,0,0,0,32,"cool,dry",0.97,High tercile
S1_IRRI_ir06_E33,Backcast 30 Apr 2018,Irrigation,Irrigated area=6%,2018 landuse+irrigated area=6%,0.06,0,0,0,0,0,33,"cool,dry",0.7,High tercile
S1_IRRI_ir06_E34,Backcast 30 Apr 2018,Irrigation,Irrigated area=6%,2018 landuse+irrigated area=6%,0.06,0,0,0,0,0,34,"cool,dry",0.64,Middle tercile
S1_IRRI_ir08_H,Historical,Irrigation,Irrigated area=8%,2018 land use+irrigated area=8%,0.08,0,0,0,0,0,NA,NA,NA,NA
S1_IRRI_ir08_E01,Backcast 30 Apr 2018,Irrigation,Irrigated area=8%,2018 land use+irrigated area=8%,0.08,0,0,0,0,0,1,"warm,wet",0.12,Low tercile
S1_IRRI_ir08_E02,Backcast 30 Apr 2018,Irrigation,Irrigated area=8%,2018 land use+irrigated area=8%,0.08,0,0,0,0,0,2,midrange,0.15,Low tercile
S1_IRRI_ir08_E03,Backcast 30 Apr 2018,Irrigation,Irrigated area=8%,2018 land use+irrigated area=8%,0.08,0,0,0,0,0,3,"warm,dry",0.24,Low tercile
S1_IRRI_ir08_E04,Backcast 30 Apr 2018,Irrigation,Irrigated area=8%,2018 land use+irrigated area=8%,0.08,0,0,0,0,0,4,midrange,0.27,Low tercile
S1_IRRI_ir08_E05,Backcast 30 Apr 2018,Irrigation,Irrigated area=8%,2018 land use+irrigated area=8%,0.08,0,0,0,0,0,5,"cool,wet",0.03,Low tercile
S1_IRRI_ir08_E06,Backcast 30 Apr 2018,Irrigation,Irrigated area=8%,2018 land use+irrigated area=8%,0.08,0,0,0,0,0,6,midrange,0.67,Middle tercile
S1_IRRI_ir08_E07,Backcast 30 Apr 2018,Irrigation,Irrigated area=8%,2018 land use+irrigated area=8%,0.08,0,0,0,0,0,7,"warm,wet",0.3,Low tercile
S1_IRRI_ir08_E08,Backcast 30 Apr 2018,Irrigation,Irrigated area=8%,2018 land use+irrigated area=8%,0.08,0,0,0,0,0,8,midrange,0.09,Low tercile
S1_IRRI_ir08_E09,Backcast 30 Apr 2018,Irrigation,Irrigated area=8%,2018 land use+irrigated area=8%,0.08,0,0,0,0,0,9,"warm,dry",1,High tercile
S1_IRRI_ir08_E10,Backcast 30 Apr 2018,Irrigation,Irrigated area=8%,2018 land use+irrigated area=8%,0.08,0,0,0,0,0,10,"cool,wet",0.52,Middle tercile
