scenario,simulation_mode,counterfactual_class,counterfactual_level,counterfactual,climate_anomalies,cereal_prodn_pctile,cereal_prodn_tercile
S1_IRRI_ir04_E25,Backcast 30 Apr 2018,Irrigation,Irrigated area=4%,2018 land use+irrigated area=4%,"cool,dry",94%,High tercile
S1_IRRI_ir04_E26,Backcast 30 Apr 2018,Irrigation,Irrigated area=4%,2018 land use+irrigated area=4%,midrange,82%,High tercile
S1_IRRI_ir04_E27,Backcast 30 Apr 2018,Irrigation,Irrigated area=4%,2018 land use+irrigated area=4%,midrange,73%,High tercile
S1_IRRI_ir04_E28,Backcast 30 Apr 2018,Irrigation,Irrigated area=4%,2018 land use+irrigated area=4%,"warm,dry",79%,High tercile
S1_IRRI_ir04_E29,Backcast 30 Apr 2018,Irrigation,Irrigated area=4%,2018 land use+irrigated area=4%,midrange,91%,High tercile
S1_IRRI_ir04_E30,Backcast 30 Apr 2018,Irrigation,Irrigated area=4%,2018 land use+irrigated area=4%,"cool,wet",42%,Middle tercile
S1_IRRI_ir04_E31,Backcast 30 Apr 2018,Irrigation,Irrigated area=4%,2018 land use+irrigated area=4%,"cool,dry",39%,Middle tercile
S1_IRRI_ir04_E32,Backcast 30 Apr 2018,Irrigation,Irrigated area=4%,2018 land use+irrigated area=4%,"cool,dry",97%,High tercile
S1_IRRI_ir04_E33,Backcast 30 Apr 2018,Irrigation,Irrigated area=4%,2018 land use+irrigated area=4%,"cool,dry",70%,High tercile
S1_IRRI_ir04_E34,Backcast 30 Apr 2018,Irrigation,Irrigated area=4%,2018 land use+irrigated area=4%,"cool,dry",64%,Middle tercile
S1_IRRI_ir06_H,Historical,Irrigation,Irrigated area=6%,2018 landuse+irrigated area=6%,NA,NA,NA
S1_IRRI_ir06_E01,Backcast 30 Apr 2018,Irrigation,Irrigated area=6%,2018 landuse+irrigated area=6%,"warm,wet",12%,Low tercile
S1_IRRI_ir06_E02,Backcast 30 Apr 2018,Irrigation,Irrigated area=6%,2018 landuse+irrigated area=6%,midrange,15%,Low tercile
S1_IRRI_ir06_E03,Backcast 30 Apr 2018,Irrigation,Irrigated area=6%,2018 landuse+irrigated area=6%,"warm,dry",24%,Low tercile
S1_IRRI_ir06_E04,Backcast 30 Apr 2018,Irrigation,Irrigated area=6%,2018 landuse+irrigated area=6%,midrange,27%,Low tercile
S1_IRRI_ir06_E05,Backcast 30 Apr 2018,Irrigation,Irrigated area=6%,2018 landuse+irrigated area=6%,"cool,wet",3%,Low tercile
S1_IRRI_ir06_E06,Backcast 30 Apr 2018,Irrigation,Irrigated area=6%,2018 landuse+irrigated area=6%,midrange,67%,Middle tercile
S1_IRRI_ir06_E07,Backcast 30 Apr 2018,Irrigation,Irrigated area=6%,2018 landuse+irrigated area=6%,"warm,wet",30%,Low tercile
S1_IRRI_ir06_E08,Backcast 30 Apr 2018,Irrigation,Irrigated area=6%,2018 landuse+irrigated area=6%,midrange,9%,Low tercile
S1_IRRI_ir06_E09,Backcast 30 Apr 2018,Irrigation,Irrigated area=6%,2018 landuse+irrigated area=6%,"warm,dry",100%,High tercile
S1_IRRI_ir06_E10,Backcast 30 Apr 2018,Irrigation,Irrigated area=6%,2018 landuse+irrigated area=6%,"cool,wet",52%,Middle tercile
S1_IRRI_ir06_E11,Backcast 30 Apr 2018,Irrigation,Irrigated area=6%,2018 landuse+irrigated area=6%,midrange,6%,Low tercile
S1_IRRI_ir06_E12,Backcast 30 Apr 2018,Irrigation,Irrigated area=6%,2018 landuse+irrigated area=6%,"cool,wet",0%,Low tercile
S1_IRRI_ir06_E13,Backcast 30 Apr 2018,Irrigation,Irrigated area=6%,2018 landuse+irrigated area=6%,"warm,dry",58%,Middle tercile
S1_IRRI_ir06_E14,Backcast 30 Apr 2018,Irrigation,Irrigated area=6%,2018 landuse+irrigated area=6%,"warm,dry",88%,High tercile
S1_IRRI_ir06_E15,Backcast 30 Apr 2018,Irrigation,Irrigated area=6%,2018 landuse+irrigated area=6%,"warm,dry",36%,Middle tercile
S1_IRRI_ir06_E16,Backcast 30 Apr 2018,Irrigation,Irrigated area=6%,2018 landuse+irrigated area=6%,"warm,dry",45%,Middle tercile
S1_IRRI_ir06_E17,Backcast 30 Apr 2018,Irrigation,Irrigated area=6%,2018 landuse+irrigated area=6%,"warm,wet",33%,Low tercile
S1_IRRI_ir06_E18,Backcast 30 Apr 2018,Irrigation,Irrigated area=6%,2018 landuse+irrigated area=6%,"warm,wet",21%,Low tercile
S1_IRRI_ir06_E19,Backcast 30 Apr 2018,Irrigation,Irrigated area=6%,2018 landuse+irrigated area=6%,"cool,wet",61%,Middle tercile
S1_IRRI_ir06_E20,Backcast 30 Apr 2018,Irrigation,Irrigated area=6%,2018 landuse+irrigated area=6%,"cool,wet",18%,Low tercile
S1_IRRI_ir06_E21,Backcast 30 Apr 2018,Irrigation,Irrigated area=6%,2018 landuse+irrigated area=6%,"cool,wet",85%,High tercile
S1_IRRI_ir06_E22,Backcast 30 Apr 2018,Irrigation,Irrigated area=6%,2018 landuse+irrigated area=6%,"cool,wet",48%,Middle tercile
S1_IRRI_ir06_E23,Backcast 30 Apr 2018,Irrigation,Irrigated area=6%,2018 landuse+irrigated area=6%,"cool,dry",76%,High tercile
S1_IRRI_ir06_E24,Backcast 30 Apr 2018,Irrigation,Irrigated area=6%,2018 landuse+irrigated area=6%,"cool,dry",55%,Middle tercile
S1_IRRI_ir06_E25,Backcast 30 Apr 2018,Irrigation,Irrigated area=6%,2018 landuse+irrigated area=6%,"cool,dry",94%,High tercile
S1_IRRI_ir06_E26,Backcast 30 Apr 2018,Irrigation,Irrigated area=6%,2018 landuse+irrigated area=6%,midrange,82%,High tercile
S1_IRRI_ir06_E27,Backcast 30 Apr 2018,Irrigation,Irrigated area=6%,2018 landuse+irrigated area=6%,midrange,73%,High tercile
S1_IRRI_ir06_E28,Backcast 30 Apr 2018,Irrigation,Irrigated area=6%,2018 landuse+irrigated area=6%,"warm,dry",79%,High tercile
S1_IRRI_ir06_E29,Backcast 30 Apr 2018,Irrigation,Irrigated area=6%,2018 landuse+irrigated area=6%,midrange,91%,High tercile
S1_IRRI_ir06_E30,Backcast 30 Apr 2018,Irrigation,Irrigated area=6%,2018 landuse+irrigated area=6%,"cool,wet",42%,Middle tercile
S1_IRRI_ir06_E31,Backcast 30 Apr 2018,Irrigation,Irrigated area=6%,2018 landuse+irrigated area=6%,"cool,dry",39%,Middle tercile
S1_IRRI_ir06_E32,Backcast 30 Apr 2018,Irrigation,Irrigated area=6%,2018 landuse+irrigated area=6%,"cool,dry",97%,High tercile
S1_IRRI_ir06_E33,Backcast 30 Apr 2018,Irrigation,Irrigated area=6%,2018 landuse+irrigated area=6%,"cool,dry",70%,High tercile
S1_IRRI_ir06_E34,Backcast 30 Apr 2018,Irrigation,Irrigated area=6%,2018 landuse+irrigated area=6%,"cool,dry",64%,Middle tercile
S1_IRRI_ir08_H,Historical,Irrigation,Irrigated area=8%,2018 land use+irrigated area=8%,NA,NA,NA
S1_IRRI_ir08_E01,Backcast 30 Apr 2018,Irrigation,Irrigated area=8%,2018 land use+irrigated area=8%,"warm,wet",12%,Low tercile
S1_IRRI_ir08_E02,Backcast 30 Apr 2018,Irrigation,Irrigated area=8%,2018 land use+irrigated area=8%,midrange,15%,Low tercile
S1_IRRI_ir08_E03,Backcast 30 Apr 2018,Irrigation,Irrigated area=8%,2018 land use+irrigated area=8%,"warm,dry",24%,Low tercile
S1_IRRI_ir08_E04,Backcast 30 Apr 2018,Irrigation,Irrigated area=8%,2018 land use+irrigated area=8%,midrange,27%,Low tercile
S1_IRRI_ir08_E05,Backcast 30 Apr 2018,Irrigation,Irrigated area=8%,2018 land use+irrigated area=8%,"cool,wet",3%,Low tercile
S1_IRRI_ir08_E06,Backcast 30 Apr 2018,Irrigation,Irrigated area=8%,2018 land use+irrigated area=8%,midrange,67%,Middle tercile
S1_IRRI_ir08_E07,Backcast 30 Apr 2018,Irrigation,Irrigated area=8%,2018 land use+irrigated area=8%,"warm,wet",30%,Low tercile
S1_IRRI_ir08_E08,Backcast 30 Apr 2018,Irrigation,Irrigated area=8%,2018 land use+irrigated area=8%,midrange,9%,Low tercile
S1_IRRI_ir08_E09,Backcast 30 Apr 2018,Irrigation,Irrigated area=8%,2018 land use+irrigated area=8%,"warm,dry",100%,High tercile
