Latitude,Longitude,% Yield Anomaly,crop,temperature,precipitation,type,datetime
8.375,30.875,-22.62759878,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.125,30.875,-25.01661781,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.875,30.875,-13.77657441,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.625,30.875,-8.85748086,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.375,30.875,-18.73871455,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.125,30.875,-13.50864496,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.875,30.875,-15.67496966,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.625,30.875,-10.14960347,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.375,30.875,1.15924602,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.125,30.875,-3.45812735,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
5.875,30.875,3.27277656,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
5.625,30.875,8.42875546,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
5.375,30.875,-3.84050123,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
5.125,30.875,-2.25295539,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
4.875,30.875,-13.3719916,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
4.625,30.875,-1.94311025,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
4.375,30.875,,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
4.125,30.875,,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
3.875,30.875,-3.10232247,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
3.625,30.875,-2.77996662,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
10.375,31.125,-28.87146889,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
10.125,31.125,-28.87146889,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.875,31.125,-6.31546963,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.625,31.125,-4.96156592,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.375,31.125,-4.90857526,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.125,31.125,-5.42145304,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.875,31.125,-26.03362299,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.625,31.125,-27.38862396,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.375,31.125,-5.12700804,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.125,31.125,-13.78002969,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.875,31.125,-10.57951319,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.625,31.125,-7.84488524,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.375,31.125,-10.11265879,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.125,31.125,-9.49874685,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.875,31.125,-14.38635178,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.625,31.125,-15.46556563,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.375,31.125,-5.69320758,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.125,31.125,-6.81961301,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
5.875,31.125,-13.65792323,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
5.625,31.125,-1.23342043,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
5.375,31.125,6.07403475,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
5.125,31.125,5.32829852,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
4.875,31.125,-5.735964,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
4.625,31.125,2.15013427,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
4.375,31.125,,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
4.125,31.125,,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
3.875,31.125,6.03440383,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
3.625,31.125,9.61022851,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
