scenario,GID_2,cropping_year,yield_meher_maize,yield_meher_wheat,yield_meher_teff,yield_meher_sorghum,yield_meher_barley,yield_belg_maize,yield_belg_wheat,yield_belg_teff,yield_belg_sorghum,yield_belg_barley,rel_anomaly_yield_meher_maize,rel_anomaly_yield_meher_wheat,rel_anomaly_yield_meher_teff,rel_anomaly_yield_meher_sorghum,rel_anomaly_yield_meher_barley,rel_anomaly_yield_belg_maize,rel_anomaly_yield_belg_wheat,rel_anomaly_yield_belg_teff,rel_anomaly_yield_belg_sorghum,rel_anomaly_yield_belg_barley
S0_BASE_bs00_E23,ETH.8.12,2018,57.51,8.20,1.79,46.34,32.04,56.02,13.41,11.64,41.88,32.89,10.32,42.13,-56.80,24.87,38.75,12.43,27.93,2.04,6.46,13.01
S0_BASE_bs00_E24,ETH.8.12,2018,60.10,8.45,1.41,43.61,28.47,56.41,16.90,7.97,41.76,35.39,15.28,46.42,-66.00,17.52,23.31,13.20,61.25,-30.11,6.15,21.63
S0_BASE_bs00_E25,ETH.8.12,2018,61.46,8.68,1.16,43.31,31.18,53.56,18.06,5.93,41.55,37.03,17.90,50.47,-71.88,16.72,35.06,7.48,72.34,-47.99,5.63,27.25
S0_BASE_bs00_E26,ETH.8.12,2018,59.52,7.80,1.76,42.60,32.19,57.26,15.09,9.41,42.59,34.66,14.18,35.14,-57.51,14.79,39.43,14.92,43.94,-17.55,8.27,19.12
S0_BASE_bs00_E27,ETH.8.12,2018,57.96,8.01,2.34,45.15,32.77,55.59,8.23,11.78,43.72,31.08,11.18,38.79,-43.58,21.66,41.93,11.56,-21.49,3.23,11.12,6.80
S0_BASE_bs00_E28,ETH.8.12,2018,55.87,9.28,1.30,45.29,32.49,55.40,11.38,10.84,44.04,30.42,7.18,60.84,-68.68,22.05,40.73,11.19,8.57,-4.96,11.95,4.53
S0_BASE_bs00_E29,ETH.8.12,2018,58.83,8.24,2.57,44.25,32.09,54.94,13.45,10.64,44.42,32.03,12.86,42.79,-37.94,19.25,38.99,10.25,28.33,-6.79,12.90,10.07
S0_BASE_bs00_E30,ETH.8.12,2018,59.61,7.96,1.93,42.51,32.71,56.57,3.30,10.56,39.88,26.47,14.34,38.03,-53.27,14.55,41.67,13.53,-68.54,-7.45,1.38,-9.05
S0_BASE_bs00_E31,ETH.8.12,2018,59.79,7.95,1.44,45.21,33.79,54.55,18.16,6.01,42.39,37.60,14.69,37.72,-65.17,21.83,46.34,9.47,73.27,-47.31,7.74,29.20
S0_BASE_bs00_E32,ETH.8.12,2018,61.46,7.17,1.33,43.91,33.44,54.71,16.82,7.98,42.70,35.65,17.90,24.25,-67.95,18.33,44.82,9.80,60.48,-30.09,8.53,22.52
S0_BASE_bs00_E33,ETH.8.12,2018,61.11,7.87,1.05,42.77,29.74,56.09,13.01,6.36,43.30,32.53,17.23,36.34,-74.66,15.26,28.80,12.57,24.10,-44.25,10.07,11.80
S0_BASE_bs00_E34,ETH.8.12,2018,57.52,7.33,1.52,43.54,25.64,56.81,17.55,6.71,41.24,34.66,10.34,27.08,-63.36,17.32,11.04,14.01,67.45,-41.15,4.82,19.10
S0_BASE_bs00_E01,ETH.8.13,2018,50.41,23.60,14.25,26.45,18.54,65.69,34.83,15.20,48.84,29.48,-3.79,25.01,5.85,70.96,16.16,12.85,16.85,-4.48,46.15,15.38
S0_BASE_bs00_E02,ETH.8.13,2018,44.46,22.08,12.22,14.57,18.87,61.63,35.25,16.46,45.92,26.91,-15.15,16.97,-9.18,-5.81,18.21,5.87,18.26,3.49,37.41,5.33
S0_BASE_bs00_E03,ETH.8.13,2018,51.69,23.43,12.69,29.21,19.72,62.41,36.55,15.95,47.74,31.91,-1.36,24.12,-5.73,88.80,23.54,7.21,22.61,0.27,42.84,24.90
S0_BASE_bs00_E04,ETH.8.13,2018,46.88,24.11,13.77,9.51,18.95,61.85,34.61,15.89,45.80,30.79,-10.54,27.71,2.29,-38.54,18.70,6.25,16.09,-0.12,37.06,20.52
S0_BASE_bs00_E05,ETH.8.13,2018,47.33,21.55,12.23,11.26,17.85,60.43,35.66,15.53,45.23,30.58,-9.68,14.16,-9.10,-27.23,11.85,3.81,19.62,-2.40,35.35,19.68
S0_BASE_bs00_E06,ETH.8.13,2018,48.65,23.86,14.11,8.14,18.35,65.21,34.44,15.82,49.52,27.22,-7.16,26.39,4.85,-47.39,14.96,12.02,15.52,-0.57,48.18,6.54
S0_BASE_bs00_E07,ETH.8.13,2018,57.60,27.09,14.98,39.83,21.33,64.75,33.16,16.59,53.60,22.83,9.92,43.48,11.27,157.45,33.65,11.24,11.24,4.28,60.39,-10.66
S0_BASE_bs00_E08,ETH.8.13,2018,44.80,21.75,13.88,11.60,19.50,64.61,32.90,15.52,46.13,25.32,-14.50,15.21,3.11,-25.05,22.16,11.00,10.37,-2.42,38.02,-0.90
S0_BASE_bs00_E09,ETH.8.13,2018,59.97,29.78,15.74,41.97,22.54,70.91,29.94,16.39,56.96,19.28,14.44,57.73,16.90,171.28,41.24,21.81,0.45,2.99,70.44,-24.55
S0_BASE_bs00_E10,ETH.8.13,2018,47.57,22.09,12.46,37.24,19.65,65.56,37.02,15.66,49.78,35.17,-9.22,17.02,-7.41,140.75,23.10,12.63,24.18,-1.60,48.96,37.66
S0_BASE_bs00_E11,ETH.8.13,2018,56.00,25.75,15.01,9.87,18.43,58.01,30.36,15.44,44.93,21.39,6.88,36.37,11.53,-36.20,15.48,-0.35,1.84,-2.93,34.43,-16.29
S0_BASE_bs00_E12,ETH.8.13,2018,47.40,23.64,12.16,1.18,16.05,61.35,30.98,15.82,45.40,23.83,-9.53,25.22,-9.67,-92.35,0.55,5.40,3.93,-0.56,35.85,-6.73
S0_BASE_bs00_E13,ETH.8.13,2018,56.30,26.89,14.08,7.35,20.48,51.27,29.65,15.80,45.50,22.43,7.43,42.42,4.64,-52.46,28.35,-11.91,-0.52,-0.68,36.15,-12.20
S0_BASE_bs00_E14,ETH.8.13,2018,56.20,27.69,15.32,31.12,20.90,47.94,26.42,16.46,47.77,17.16,7.26,46.66,13.84,101.17,30.94,-17.65,-11.37,3.46,42.95,-32.83
S0_BASE_bs00_E15,ETH.8.13,2018,54.00,26.61,14.58,8.52,20.01,60.51,11.26,16.15,45.83,7.21,3.06,40.95,8.32,-44.94,25.40,3.95,-62.23,1.51,37.13,-71.78
S0_BASE_bs00_E16,ETH.8.13,2018,56.60,27.25,15.04,15.20,19.99,47.56,15.59,15.39,45.74,11.74,8.01,44.33,11.75,-1.75,25.25,-18.29,-47.71,-3.24,36.87,-54.05
S0_BASE_bs00_E17,ETH.8.13,2018,57.32,27.85,14.13,22.46,21.98,57.82,28.19,17.51,49.72,18.59,9.38,47.49,4.97,45.20,37.73,-0.68,-5.42,10.07,48.77,-27.24
S0_BASE_bs00_E18,ETH.8.13,2018,44.84,24.92,12.31,14.09,17.13,62.84,33.96,15.41,48.27,25.51,-14.43,31.97,-8.56,-8.93,7.34,7.96,13.91,-3.14,44.43,-0.14
S0_BASE_bs00_E19,ETH.8.13,2018,45.44,24.63,13.81,39.27,20.26,64.63,36.45,15.63,49.78,35.38,-13.28,30.45,2.62,153.82,26.91,11.02,22.26,-1.73,48.96,38.45
S0_BASE_bs00_E20,ETH.8.13,2018,43.53,25.67,13.90,14.93,18.44,66.00,32.38,15.84,48.04,25.54,-16.93,35.97,3.25,-3.49,15.56,13.38,8.62,-0.43,43.74,-0.02
S0_BASE_bs00_E21,ETH.8.13,2018,56.93,24.30,12.23,40.19,20.68,62.18,35.69,16.76,48.38,31.30,8.64,28.73,-9.11,159.78,29.56,6.83,19.74,5.33,44.76,22.50
S0_BASE_bs00_E22,ETH.8.13,2018,48.24,23.85,14.59,31.76,20.15,60.87,35.19,16.48,48.86,28.84,-7.94,26.31,8.42,105.32,26.25,4.57,18.06,3.61,46.19,12.89
S0_BASE_bs00_E23,ETH.8.13,2018,59.88,27.56,14.78,40.64,22.52,67.59,35.42,16.69,50.69,27.98,14.28,45.95,9.78,162.71,41.13,16.12,18.81,4.92,51.67,9.53
S0_BASE_bs00_E24,ETH.8.13,2018,54.13,25.27,14.94,39.40,21.89,62.04,35.49,16.92,49.18,31.13,3.30,33.84,11.02,154.66,37.13,6.57,19.06,6.33,47.16,21.84
S0_BASE_bs00_E25,ETH.8.13,2018,60.63,25.21,13.09,44.15,21.18,63.95,35.27,17.28,54.05,29.88,15.71,33.54,-2.75,185.42,32.71,9.86,18.33,8.60,61.72,16.93
S0_BASE_bs00_E26,ETH.8.13,2018,58.67,27.10,14.51,44.19,22.34,64.44,34.01,16.62,51.51,29.88,11.97,43.52,7.79,185.68,39.97,10.71,14.08,4.47,54.12,16.95
S0_BASE_bs00_E27,ETH.8.13,2018,62.59,25.34,14.85,40.95,22.52,63.50,36.36,17.09,50.06,28.93,19.44,34.24,10.36,164.70,41.09,9.09,21.96,7.40,49.79,13.25
S0_BASE_bs00_E28,ETH.8.13,2018,61.30,30.54,15.72,47.63,24.84,65.45,32.78,17.83,51.00,25.66,16.98,61.76,16.81,207.90,55.63,12.43,9.97,12.05,52.60,0.42
S0_BASE_bs00_E29,ETH.8.13,2018,56.78,24.52,14.07,33.06,19.45,62.39,32.96,16.53,52.34,26.69,8.36,29.86,4.54,113.72,21.84,7.19,10.58,3.88,56.60,4.44
S0_BASE_bs00_E30,ETH.8.13,2018,45.04,24.57,12.46,35.16,18.52,64.42,33.66,15.62,48.92,27.63,-14.04,30.12,-7.46,127.28,16.06,10.66,12.91,-1.81,46.38,8.15
S0_BASE_bs00_E31,ETH.8.13,2018,47.64,23.56,12.46,17.26,18.83,62.40,33.92,16.60,50.30,28.55,-9.08,24.77,-7.46,11.56,17.96,7.20,13.78,4.34,50.50,11.74
S0_BASE_bs00_E32,ETH.8.13,2018,65.22,29.00,16.74,43.81,24.14,58.22,29.63,18.05,53.68,19.73,24.47,53.62,24.40,183.18,51.23,0.02,-0.61,13.45,60.64,-22.79
S0_BASE_bs00_E33,ETH.8.13,2018,57.74,24.89,14.85,42.94,22.08,62.42,34.98,16.84,50.81,29.27,10.20,31.83,10.30,177.59,38.33,7.23,17.35,5.87,52.03,14.58
S0_BASE_bs00_E34,ETH.8.13,2018,60.39,26.19,16.56,41.63,22.05,62.03,34.92,17.33,53.40,29.20,15.25,38.74,23.05,169.13,38.15,6.57,17.14,8.93,59.79,14.27
S0_BASE_bs00_E01,ETH.8.14,2018,22.09,12.44,9.83,22.22,16.60,29.15,20.60,7.31,21.06,26.17,-10.27,-21.07,-5.44,1.38,-1.59,10.43,30.73,-14.78,-0.31,41.22
S0_BASE_bs00_E02,ETH.8.14,2018,24.77,13.71,8.68,24.18,14.72,28.78,20.55,8.16,25.95,26.51,0.60,-12.98,-16.58,10.29,-12.73,9.01,30.40,-4.95,22.85,43.09
S0_BASE_bs00_E03,ETH.8.14,2018,18.76,11.93,5.71,18.58,2.37,33.16,22.22,1.19,22.41,25.99,-23.82,-24.27,-45.13,-15.24,-85.95,25.62,40.98,-86.18,6.11,40.23
S0_BASE_bs00_E04,ETH.8.14,2018,21.16,15.22,12.93,24.36,28.78,23.17,16.73,6.57,20.19,23.74,-14.07,-3.46,24.32,11.12,70.60,-12.25,6.17,-23.48,-4.41,28.09
S0_BASE_bs00_E05,ETH.8.14,2018,27.33,15.09,12.80,25.14,20.07,25.56,20.20,9.10,23.68,25.52,11.01,-4.28,23.10,14.70,18.97,-3.20,28.19,6.10,12.11,37.72
S0_BASE_bs00_E06,ETH.8.14,2018,28.86,14.42,11.10,27.41,16.50,28.30,19.26,11.30,24.54,24.72,17.22,-8.51,6.77,25.05,-2.20,7.19,22.19,31.75,16.21,33.40
S0_BASE_bs00_E07,ETH.8.14,2018,28.58,13.52,10.72,24.25,14.25,34.62,21.50,9.68,25.07,25.19,16.07,-14.22,3.11,10.65,-15.54,31.13,36.40,12.76,18.71,35.97
S0_BASE_bs00_E08,ETH.8.14,2018,29.17,17.39,12.50,26.47,22.33,36.18,24.17,10.30,25.37,27.81,18.46,10.34,20.19,20.76,32.37,37.05,53.36,19.99,20.13,50.06
S0_BASE_bs00_E09,ETH.8.14,2018,24.80,12.86,6.92,23.20,11.89,22.52,13.06,8.30,20.78,20.19,0.74,-18.41,-33.48,5.84,-29.51,-14.70,-17.12,-3.32,-1.59,8.96
S0_BASE_bs00_E10,ETH.8.14,2018,24.73,14.64,9.48,26.32,14.12,31.16,18.48,8.30,22.84,24.95,0.46,-7.10,-8.86,20.07,-16.28,18.02,17.26,-3.22,8.13,34.67
S0_BASE_bs00_E11,ETH.8.14,2018,25.79,15.09,14.11,23.78,23.44,34.15,20.86,7.81,23.13,22.60,4.74,-4.25,35.67,8.48,38.97,29.36,32.36,-9.03,9.53,21.99
S0_BASE_bs00_E12,ETH.8.14,2018,21.43,13.99,11.11,23.51,16.54,27.01,16.01,6.44,19.80,22.23,-12.97,-11.22,6.82,7.25,-1.94,2.30,1.57,-24.89,-6.27,19.98
S0_BASE_bs00_E13,ETH.8.14,2018,25.09,11.20,9.32,23.68,13.28,32.03,23.52,7.85,25.37,28.26,1.92,-28.94,-10.36,8.02,-21.27,21.34,49.25,-8.46,20.10,52.52
S0_BASE_bs00_E14,ETH.8.14,2018,21.05,14.97,12.31,22.57,16.02,21.12,5.92,4.44,21.34,12.83,-14.48,-5.02,18.32,2.96,-5.04,-20.02,-62.45,-48.27,1.06,-30.74
S0_BASE_bs00_E15,ETH.8.14,2018,25.69,14.49,12.36,24.96,14.39,29.85,14.37,8.47,22.42,19.59,4.34,-8.06,18.82,13.85,-14.72,13.06,-8.83,-1.23,6.17,5.73
S0_BASE_bs00_E16,ETH.8.14,2018,22.59,11.24,7.74,22.56,12.11,23.51,15.09,5.56,19.50,21.62,-8.23,-28.71,-25.61,2.90,-28.24,-10.93,-4.26,-35.23,-7.67,16.68
S0_BASE_bs00_E17,ETH.8.14,2018,24.22,13.78,13.63,25.13,13.73,30.09,19.70,5.83,23.13,25.46,-1.64,-12.56,31.02,14.62,-18.61,13.97,25.02,-32.07,9.53,37.37
S0_BASE_bs00_E18,ETH.8.14,2018,21.41,13.49,12.34,23.95,14.53,21.22,14.12,5.48,18.73,21.08,-13.04,-14.42,18.68,9.24,-13.89,-19.62,-10.38,-36.11,-11.32,13.74
S0_BASE_bs00_E19,ETH.8.14,2018,26.99,15.65,12.19,24.75,19.60,21.71,13.49,10.59,22.33,21.25,9.63,-0.71,17.21,12.93,16.17,-17.76,-14.37,23.38,5.74,14.70
S0_BASE_bs00_E20,ETH.8.14,2018,24.20,13.86,8.77,22.81,19.92,28.64,17.02,6.17,19.90,22.68,-1.70,-12.08,-15.69,4.06,18.09,8.49,7.97,-28.10,-5.78,22.37
S0_BASE_bs00_E21,ETH.8.14,2018,30.55,12.91,8.37,23.96,15.12,31.07,19.25,10.69,24.79,23.49,24.08,-18.11,-19.53,9.33,-10.35,17.70,22.17,24.61,17.38,26.74
S0_BASE_bs00_E22,ETH.8.14,2018,37.58,16.92,12.48,25.81,20.40,38.20,25.82,14.07,25.26,26.19,52.66,7.34,20.03,17.76,20.94,44.70,63.82,63.97,19.58,41.31
S0_BASE_bs00_E23,ETH.8.14,2018,24.51,14.13,9.75,26.45,13.79,26.65,18.29,8.95,23.71,24.04,-0.45,-10.37,-6.24,20.68,-18.26,0.95,16.03,4.33,12.27,29.75
S0_BASE_bs00_E24,ETH.8.14,2018,33.67,17.80,11.56,27.89,15.76,30.37,21.03,14.17,26.57,24.79,36.76,12.94,11.11,27.25,-6.58,15.05,33.41,65.20,25.82,33.77
S0_BASE_bs00_E25,ETH.8.14,2018,26.25,14.78,9.86,28.51,15.74,32.17,23.30,7.74,26.48,26.90,6.64,-6.25,-5.19,30.06,-6.73,21.85,47.85,-9.73,25.37,45.20
S0_BASE_bs00_E26,ETH.8.14,2018,25.88,17.09,12.70,26.60,20.13,30.53,19.30,8.06,20.77,23.84,5.13,8.44,22.13,21.35,19.32,15.63,22.44,-6.02,-1.65,28.67
S0_BASE_bs00_E27,ETH.8.14,2018,27.47,13.57,8.24,25.21,14.62,28.83,20.92,8.87,23.02,25.91,11.57,-13.91,-20.73,14.99,-13.31,9.20,32.73,3.32,9.01,39.80
S0_BASE_bs00_E28,ETH.8.14,2018,22.80,13.16,8.83,21.47,13.38,18.14,12.19,5.76,18.26,19.94,-7.38,-16.48,-15.09,-2.03,-20.67,-31.31,-22.67,-32.84,-13.52,7.58
S0_BASE_bs00_E29,ETH.8.14,2018,23.05,13.46,8.63,25.52,13.47,19.93,14.34,7.16,21.41,20.81,-6.39,-14.57,-17.03,16.43,-20.14,-24.51,-9.01,-16.58,1.39,12.28
S0_BASE_bs00_E30,ETH.8.14,2018,24.25,15.20,12.96,24.79,21.72,21.17,9.77,8.58,22.53,15.69,-1.50,-3.56,24.63,13.08,28.76,-19.80,-38.04,-0.04,6.66,-15.34
S0_BASE_bs00_E31,ETH.8.14,2018,24.48,13.50,8.63,26.23,18.84,36.19,26.34,6.87,27.08,28.06,-0.55,-14.31,-17.05,19.66,11.65,37.07,67.15,-19.97,28.21,51.45
S0_BASE_bs00_E32,ETH.8.14,2018,29.13,16.07,9.33,27.26,17.87,33.91,24.28,10.15,27.31,27.66,18.31,1.98,-10.33,24.38,5.90,28.45,54.06,18.26,29.29,49.26
S0_BASE_bs00_E33,ETH.8.14,2018,26.26,13.84,8.80,26.65,12.60,27.77,21.36,9.24,25.49,26.76,6.68,-12.16,-15.42,21.59,-25.29,5.21,35.55,7.68,20.71,44.41
S0_BASE_bs00_E34,ETH.8.14,2018,28.18,13.08,8.86,25.40,17.39,33.55,23.10,6.72,25.68,23.41,14.47,-17.01,-14.80,15.88,3.07,27.10,46.60,-21.68,21.57,26.32
S0_BASE_bs00_E01,ETH.8.15,2018,27.67,5.35,6.21,24.14,17.30,31.72,8.60,0.64,21.77,25.80,-18.97,-47.49,-33.63,5.53,-3.29,-4.14,-12.92,-95.33,-3.05,52.32
S0_BASE_bs00_E02,ETH.8.15,2018,32.47,7.29,2.87,25.00,20.59,33.17,13.56,0.56,21.44,27.14,-4.91,-28.39,-69.35,9.28,15.12,0.24,37.25,-95.90,-4.55,60.24
S0_BASE_bs00_E03,ETH.8.15,2018,26.23,6.21,0.91,24.48,13.34,32.44,5.93,2.49,20.88,24.80,-23.18,-39.03,-90.28,6.99,-25.41,-1.96,-39.98,-81.76,-7.05,46.38
S0_BASE_bs00_E04,ETH.8.15,2018,28.02,5.56,11.95,24.58,24.30,32.85,9.10,2.50,20.84,25.58,-17.96,-45.35,27.77,7.44,35.83,-0.73,-7.90,-81.68,-7.21,51.00
S0_BASE_bs00_E05,ETH.8.15,2018,35.67,5.95,4.13,24.55,17.91,32.26,7.39,0.62,19.72,23.02,4.44,-41.52,-55.82,7.31,0.08,-2.52,-25.24,-95.45,-12.18,35.92
S0_BASE_bs00_E06,ETH.8.15,2018,33.26,6.58,4.96,24.97,19.55,29.33,7.19,0.54,21.57,19.01,-2.60,-35.31,-46.96,9.14,9.30,-11.35,-27.27,-96.02,-3.95,12.21
S0_BASE_bs00_E07,ETH.8.15,2018,29.81,6.07,6.70,25.08,18.53,35.44,9.61,0.66,22.21,24.63,-12.70,-40.39,-28.36,9.64,3.55,7.09,-2.71,-95.17,-1.13,45.38
S0_BASE_bs00_E08,ETH.8.15,2018,28.57,8.74,2.25,26.23,18.18,36.17,14.75,0.59,20.28,26.61,-16.35,-14.17,-75.90,14.66,1.60,9.30,49.34,-95.71,-9.70,57.10
S0_BASE_bs00_E09,ETH.8.15,2018,31.53,7.32,8.54,26.41,19.32,30.69,6.78,0.76,21.25,17.13,-7.69,-28.05,-8.62,15.44,7.98,-7.27,-31.42,-94.44,-5.39,1.10
S0_BASE_bs00_E10,ETH.8.15,2018,31.90,7.45,6.47,26.40,22.13,33.49,6.14,0.39,20.47,23.66,-6.58,-26.84,-30.78,15.37,23.70,1.20,-37.81,-97.16,-8.85,39.69
S0_BASE_bs00_E11,ETH.8.15,2018,30.51,6.22,1.81,22.71,17.34,36.50,13.08,0.41,20.55,25.99,-10.65,-38.88,-80.69,-0.73,-3.07,10.30,32.36,-97.01,-8.50,53.40
S0_BASE_bs00_E12,ETH.8.15,2018,32.88,7.00,4.09,24.30,20.98,31.52,7.77,2.63,19.39,22.31,-3.71,-31.25,-56.25,6.19,17.30,-4.74,-21.40,-80.68,-13.65,31.72
S0_BASE_bs00_E13,ETH.8.15,2018,29.90,5.53,10.38,22.85,21.04,35.54,14.97,0.48,21.38,27.23,-12.45,-45.69,11.05,-0.15,17.61,7.39,51.57,-96.49,-4.80,60.72
S0_BASE_bs00_E14,ETH.8.15,2018,33.19,7.79,10.40,25.94,22.67,26.86,8.23,0.47,19.48,13.59,-2.82,-23.43,11.27,13.36,26.74,-18.82,-16.71,-96.55,-13.26,-19.76
S0_BASE_bs00_E15,ETH.8.15,2018,33.11,6.77,7.72,21.67,17.91,31.11,8.65,0.64,18.75,13.68,-3.04,-33.54,-17.47,-5.28,0.14,-5.99,-12.49,-95.29,-16.54,-19.24
S0_BASE_bs00_E16,ETH.8.15,2018,28.74,6.73,11.28,25.96,17.50,30.42,7.12,2.30,20.21,17.62,-15.85,-33.93,20.63,13.47,-2.20,-8.06,-27.89,-83.14,-10.00,4.04
S0_BASE_bs00_E17,ETH.8.15,2018,31.49,7.47,5.23,22.94,15.74,32.73,12.27,0.62,19.56,25.41,-7.79,-26.62,-44.02,0.25,-12.00,-1.10,24.16,-95.45,-12.91,49.99
S0_BASE_bs00_E18,ETH.8.15,2018,34.98,5.16,9.58,25.45,23.44,30.42,7.48,0.66,19.50,18.09,2.44,-49.31,2.46,11.24,31.04,-8.06,-24.34,-95.13,-13.17,6.80
S0_BASE_bs00_E19,ETH.8.15,2018,34.31,8.34,4.67,26.21,22.77,30.78,6.59,0.50,23.01,17.96,0.48,-18.08,-50.07,14.56,27.28,-6.99,-33.29,-96.32,2.43,6.05
S0_BASE_bs00_E20,ETH.8.15,2018,27.91,5.25,8.24,24.72,21.59,30.75,8.77,0.51,20.37,23.18,-18.26,-48.42,-11.91,8.04,20.67,-7.08,-11.28,-96.29,-9.32,36.83
S0_BASE_bs00_E21,ETH.8.15,2018,33.93,7.68,1.34,25.10,19.85,32.16,7.67,2.35,23.77,21.94,-0.65,-24.55,-85.66,9.70,10.96,-2.81,-22.38,-82.78,5.82,29.51
S0_BASE_bs00_E22,ETH.8.15,2018,35.28,6.03,1.18,26.17,18.54,37.25,24.87,3.21,22.67,31.82,3.32,-40.75,-87.38,14.39,3.61,12.58,151.73,-76.43,0.95,87.83
S0_BASE_bs00_E23,ETH.8.15,2018,33.73,8.53,1.52,25.61,17.37,30.58,5.24,0.62,21.26,20.95,-1.24,-16.23,-83.70,11.92,-2.89,-7.60,-46.98,-95.42,-5.35,23.68
S0_BASE_bs00_E24,ETH.8.15,2018,29.57,7.27,2.88,27.59,18.30,34.25,7.41,2.48,25.12,24.18,-13.42,-28.58,-69.15,20.58,2.27,3.50,-24.95,-81.83,11.84,42.73
S0_BASE_bs00_E25,ETH.8.15,2018,29.45,5.33,6.14,26.65,21.22,33.59,17.48,0.66,23.33,29.07,-13.75,-47.65,-34.36,16.46,18.62,1.52,76.90,-95.17,3.86,71.63
S0_BASE_bs00_E26,ETH.8.15,2018,33.50,6.58,3.99,26.31,22.19,31.06,7.72,0.53,21.72,21.61,-1.90,-35.34,-57.32,15.00,24.03,-6.13,-21.91,-96.08,-3.29,27.55
S0_BASE_bs00_E27,ETH.8.15,2018,29.63,9.35,3.13,26.74,20.32,35.40,5.51,2.55,23.76,20.15,-13.23,-8.11,-66.51,16.88,13.59,6.98,-44.18,-81.30,5.80,18.93
S0_BASE_bs00_E28,ETH.8.15,2018,31.62,8.18,4.42,25.48,21.59,32.62,5.69,0.83,20.27,17.74,-7.42,-19.69,-52.77,11.36,20.70,-1.41,-42.43,-93.91,-9.73,4.71
S0_BASE_bs00_E29,ETH.8.15,2018,33.06,8.03,1.18,25.93,22.26,34.27,6.34,2.52,23.20,18.86,-3.19,-21.08,-87.34,13.35,24.40,3.56,-35.83,-81.53,3.28,11.32
S0_BASE_bs00_E30,ETH.8.15,2018,33.99,6.49,8.70,24.31,22.76,29.92,6.92,0.34,19.02,17.02,-0.46,-36.26,-6.94,6.26,27.24,-9.59,-29.93,-97.52,-15.32,0.48
S0_BASE_bs00_E31,ETH.8.15,2018,25.94,5.16,1.49,25.10,16.02,36.42,22.46,3.00,22.60,30.06,-24.04,-49.30,-84.09,9.68,-10.47,10.08,127.28,-77.99,0.61,77.44
S0_BASE_bs00_E32,ETH.8.15,2018,27.94,6.61,0.63,28.13,18.18,34.54,11.10,3.50,24.56,25.06,-18.17,-35.12,-93.30,22.93,1.61,4.38,12.32,-74.33,9.35,47.95
S0_BASE_bs00_E33,ETH.8.15,2018,38.03,6.83,0.88,26.61,17.82,33.52,9.88,2.91,23.52,26.71,11.36,-32.88,-90.55,16.29,-0.41,1.29,-0.05,-78.63,4.74,57.69
S0_BASE_bs00_E34,ETH.8.15,2018,27.22,6.39,1.34,28.70,16.86,37.04,25.42,1.42,25.09,30.47,-20.30,-37.19,-85.69,25.42,-5.78,11.93,157.29,-89.59,11.71,79.90
S0_BASE_bs00_E01,ETH.8.16,2018,64.61,17.41,10.64,34.97,25.71,69.24,52.27,13.97,43.51,45.47,10.12,40.97,-18.86,13.75,57.54,7.22,23.07,8.01,14.22,12.12
S0_BASE_bs00_E02,ETH.8.16,2018,62.19,21.78,16.02,35.61,25.49,62.98,52.22,18.20,39.38,44.70,5.99,76.37,22.20,15.84,56.18,-2.47,22.96,40.78,3.39,10.23
S0_BASE_bs00_E03,ETH.8.16,2018,58.95,16.91,11.43,35.21,27.19,67.92,53.02,17.18,43.04,44.96,0.49,36.93,-12.82,14.54,66.60,5.18,24.85,32.90,13.00,10.89
S0_BASE_bs00_E04,ETH.8.16,2018,61.12,18.04,15.21,33.97,23.39,66.75,53.71,13.41,41.98,48.47,4.17,46.03,16.02,10.50,43.34,3.36,26.47,3.71,10.22,19.54
S0_BASE_bs00_E05,ETH.8.16,2018,61.25,23.10,15.94,35.31,25.12,64.85,55.33,13.39,42.67,47.90,4.40,87.02,21.61,14.87,53.94,0.41,30.29,3.56,12.03,18.13
S0_BASE_bs00_E06,ETH.8.16,2018,64.53,21.69,22.11,37.97,29.92,69.97,51.59,17.29,47.68,39.73,9.99,75.63,68.66,23.51,83.33,8.35,21.48,33.74,25.18,-2.01
S0_BASE_bs00_E07,ETH.8.16,2018,60.70,23.51,20.57,37.33,30.24,71.53,52.80,16.46,49.65,44.42,3.47,90.37,56.93,21.44,85.31,10.76,24.32,27.27,30.34,9.54
S0_BASE_bs00_E08,ETH.8.16,2018,59.69,17.09,20.21,35.93,26.13,69.71,52.64,13.95,43.91,44.98,1.74,38.36,54.16,16.90,60.14,7.94,23.95,7.90,15.27,10.92
S0_BASE_bs00_E09,ETH.8.16,2018,64.50,42.51,23.66,42.23,35.04,77.57,45.96,20.12,54.54,36.35,9.93,244.19,80.50,37.39,114.72,20.11,8.22,55.64,43.17,-10.37
S0_BASE_bs00_E10,ETH.8.16,2018,61.40,17.52,13.57,36.54,24.11,68.71,55.44,14.45,44.69,50.14,4.66,41.87,3.50,18.86,47.72,6.40,30.53,11.73,17.32,23.66
S0_BASE_bs00_E11,ETH.8.16,2018,64.26,22.52,19.50,36.97,27.11,66.71,50.29,14.28,44.85,39.04,9.53,82.37,48.77,20.27,66.14,3.30,18.42,10.48,17.74,-3.73
S0_BASE_bs00_E12,ETH.8.16,2018,55.61,12.32,14.99,34.86,18.93,68.29,51.82,14.19,42.48,40.44,-5.21,-0.23,14.34,13.40,16.01,5.75,22.02,9.71,11.51,-0.28
