scenario,GID_2,month,herbage_anpp,herbage_prodn,total_area_rangeland,mean_anomaly_herbage_anpp,total_anomaly_herbage_prodn,rel_anomaly_mean_herbage_anpp,rel_anomaly_total_herbage_prodn,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.14,2018-08,0.14151727,107357.6149,21954.54545,-0.13663409,-93639.85249,-49.12220815,-46.58757829,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.14,2018-09,1.109482308,782840.6176,21954.54545,-0.093824755,-70455.53221,-7.797241298,-8.256867469,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.14,2018-10,3.601355241,2562708.729,21954.54545,0.572171246,425752.4964,18.88862634,19.92331382,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.14,2018-11,1.165652566,796886.4757,21954.54545,-1.005299935,-741624.6598,-46.30686,-48.20404888,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.14,2018-12,0.093314786,68855.66069,21954.54545,-0.429807693,-293114.5623,-82.16196209,-80.97753453,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.15,2019-01,0.025921676,3332.626968,10150,-0.039466924,-4277.604404,-60.35749985,-56.2085986,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.15,2019-02,0.020578438,1495.095867,10150,-0.121631877,-14037.77489,-85.52957443,-90.37463267,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.15,2019-03,1.164613719,111980.9924,10150,0.307725103,9684.578262,35.91191401,9.467172772,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.15,2019-04,1.16884949,130383.6668,10150,-0.986471589,-128468.5388,-45.76912455,-49.63007308,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.15,2018-05,3.804560106,508482.8892,10150,1.001096533,189495.6755,35.7092756,59.40541416,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.15,2018-06,4.196883546,445659.8424,10150,1.679878936,169057.0638,66.74119428,61.11907649,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.15,2018-07,2.267848762,200112.6986,10150,0.567350016,26053.7448,33.36374206,14.96834505,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.15,2018-08,0.916386732,134082.3518,10150,0.109883859,18184.65435,13.62473256,15.6902637,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.15,2018-09,0.95169239,216725.6586,10150,-0.710911124,-48393.31665,-42.75890902,-18.25343381,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.15,2018-10,3.834895155,487455.4291,10150,0.061800338,54974.14485,1.637921691,12.711335,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.15,2018-11,2.550602448,250109.0184,10150,0.188771269,21291.99252,7.992580937,9.305248348,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.15,2018-12,0.124315979,16810.81875,10150,-0.231278199,-23538.77769,-65.03992851,-58.33708331,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.16,2019-01,0.706499259,25626.58436,2475,-0.069195954,-2861.519651,-8.920508079,-10.04461248,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.16,2019-02,0.054453664,2081.689886,2475,-0.086296914,-1423.7413,-61.31194308,-40.61529736,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.16,2019-03,0.588025489,14309.73646,2475,0.37455661,7732.23534,175.4619274,117.5558195,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.16,2019-04,1.549269462,58847.35829,2475,0.078171545,9522.580859,5.313823384,19.305877,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.16,2018-05,2.20094381,61292.30599,2475,-0.557779628,-27585.52805,-20.21875844,-31.03757911,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.16,2018-06,3.51880058,117100.6227,2475,-0.715183605,-37956.75997,-16.89150392,-24.47916979,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.16,2018-07,0,0,2475,-0.050206615,-525.1908308,-100,-100,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.16,2018-08,0,0,2475,-0.496881796,-37668.70432,-100,-100,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.16,2018-09,4.535606775,199724.7538,2475,1.04016449,39581.02543,29.75773608,24.71593851,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.16,2018-10,1.778315282,67711.89997,2475,-0.468062956,-10642.68941,-20.83633771,-13.58272629,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.16,2018-11,1.509038143,58130.24267,2475,-0.493744078,-10290.30216,-24.65290897,-15.03978401,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.16,2018-12,2.824122631,108105.2723,2475,0.551070235,18646.734,24.24362221,20.84399584,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.17,2019-01,0.033718713,3566.934149,6850,-0.080083006,-8672.511069,-70.37064727,-70.85706022,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.17,2019-02,0.019879079,1515.388154,6850,-0.195289534,-21417.45332,-90.76116238,-93.39206109,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.17,2019-03,1.086007567,111421.0321,6850,0.292261913,21447.74109,36.82060007,23.83789772,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.17,2019-04,0.750058046,83978.90019,6850,-1.329333764,-151274.8297,-63.92896988,-64.30284007,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.17,2018-05,1.936384524,212279.8705,6850,-0.856548905,-95694.34608,-30.66843257,-31.07219401,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.17,2018-06,4.518128857,491039.6636,6850,1.973527267,216625.408,77.55741702,78.94101839,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.17,2018-07,1.64399017,186867.8285,6850,-0.175537801,-22818.73313,-9.647436245,-10.88230593,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.17,2018-08,0.18902462,35995.14128,6850,-0.128089532,-8742.602961,-40.3922471,-19.5418949,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.17,2018-09,0.771669235,84848.5335,6850,-0.442400604,-40762.77236,-36.4394691,-32.45151548,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.17,2018-10,1.930686753,190157.4073,6850,-0.211920239,-19497.71769,-9.890765762,-9.299900345,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.17,2018-11,2.713463258,311353.9184,6850,0.380992959,64024.59373,16.33431126,25.8863739,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.17,2018-12,0.128871786,14505.70763,6850,-0.331952971,-37642.09132,-72.0345351,-72.18347098,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.2,2019-01,0.181099875,131011.8107,16045.45455,-0.239765904,-266867.1094,-56.96968401,-67.07244237,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.2,2019-02,0.051397487,44018.395,16045.45455,-0.130895963,-112720.3838,-71.80508276,-71.91607889,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.2,2019-03,1.003103811,921420.0213,16045.45455,0.719675656,670511.8835,253.9181948,267.2340121,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.2,2019-04,2.632536384,2719904.28,16045.45455,1.233500119,1354526.695,88.16784454,99.2052829,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.2,2018-05,2.34502195,2144612.185,16045.45455,0.091600028,82575.49399,4.064930204,4.004559878,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.2,2018-06,2.136833922,1971048.597,16045.45455,0.006865547,64153.3591,0.322330913,3.364283356,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.2,2018-07,0.971062536,673420.9761,16045.45455,0.125195792,90856.85275,14.80088828,15.59602611,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.2,2018-08,0.712148331,563158.1252,16045.45455,0.060696297,57401.81889,9.317078459,11.34969909,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.2,2018-09,0.841236953,812147.8588,16045.45455,0.359699672,285724.4668,74.698198,54.27655213,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.2,2018-10,1.276050882,1540122.856,16045.45455,0.128215581,159137.0992,11.17020717,11.52344247,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.2,2018-11,2.151275985,2627355.884,16045.45455,-0.141510424,-19422.14023,-6.171984581,-0.733803139,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.2,2018-12,1.161103424,1101582.837,16045.45455,-0.00286397,-83126.6432,-0.246052436,-7.016626827,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.3,2019-01,0.044539336,78989.82503,26477.94118,-0.403157223,-821425.3099,-90.05144559,-91.22739923,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.3,2019-02,0.018597855,37701.59051,26477.94118,-0.166510923,-357151.0742,-89.95301291,-90.45173203,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.3,2019-03,1.102797831,2249284.149,26477.94118,0.740355183,1515503.253,204.2682302,206.5334845,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.3,2019-04,2.687349237,5282225.166,26477.94118,1.236765048,2513800.125,85.25979099,90.80253527,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.3,2018-05,0.876624274,1128677.101,26477.94118,0.012438542,33078.26631,1.43933661,3.019195097,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.3,2018-06,0.735660306,965845.246,26477.94118,0.191805878,318477.5659,35.26787098,49.19577786,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.3,2018-07,0.10148635,84824.14821,26477.94118,-0.02594624,-25939.16071,-20.36075717,-23.41854984,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.3,2018-08,0.162106195,237533.1671,26477.94118,0.025788919,19056.93871,18.91830596,8.722660058,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.3,2018-09,0.171608906,251399.8772,26477.94118,0.056458762,57391.87206,49.03056091,29.58221854,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.3,2018-10,0.587109295,956661.5876,26477.94118,0.221574504,354402.3861,60.6165295,58.84549131,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.3,2018-11,2.526231852,5210843.5,26477.94118,0.455715622,967084.4637,22.00975849,22.78839244,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.3,2018-12,1.797765378,3758784.048,26477.94118,0.474070918,1014485.288,35.81422545,36.96701332,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.4,2019-01,0.034607131,1699.862642,5533.333333,-0.163086811,-8668.466248,-82.49459184,-83.60523996,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.4,2019-02,0.054365248,1849.240039,5533.333333,-0.342539819,-17005.22879,-86.30270751,-90.19203322,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.4,2019-03,2.526763164,122718.1849,5533.333333,1.349910335,64045.41799,114.7051103,109.1569757,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.4,2019-04,1.885380869,102284.8434,5533.333333,-0.662165015,-25836.96725,-25.99227041,-20.16593984,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.4,2018-05,4.169380151,191170.6842,5533.333333,0.334123561,-4252.208707,8.711895872,-2.175901014,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.4,2018-06,5.32011657,254805.2571,5533.333333,1.227384568,48023.57334,29.9893706,23.22428779,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.4,2018-07,4.026636569,183932.6013,5533.333333,0.279971419,-11021.942,7.472549783,-5.653595865,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.4,2018-08,0,0,5533.333333,-0.066930264,-3402.854537,-100,-100,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.4,2018-09,0,0,5533.333333,0,0,NA,NA,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.4,2018-10,1.032372611,62375.70076,5533.333333,-0.241232443,1151.754087,-18.94091442,1.881215031,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.4,2018-11,3.377194262,165894.2631,5533.333333,-0.158590436,-18682.14898,-4.485296757,-10.12163406,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.4,2018-12,0.701461678,42091.59958,5533.333333,-0.257485215,-11666.24092,-26.85083154,-21.70146868,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.5,2019-01,0.012713161,3726.798924,7620.833333,-0.136073518,-37711.45863,-91.45544383,-91.00638119,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.5,2019-02,0.002276647,536.8433458,7620.833333,-0.029792514,-7596.633886,-92.90082131,-93.39958384,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.5,2019-03,0.412412536,51665.81816,7620.833333,0.292032584,29096.82033,242.5923749,128.9238474,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.5,2019-04,1.614637632,390747.3401,7620.833333,0.655959778,176866.324,68.42337868,82.69379262,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.5,2018-05,1.290443625,286037.4204,7620.833333,-0.038644406,-3938.183771,-2.907588134,-1.358108653,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.5,2018-06,1.03036775,210663.3346,7620.833333,-0.166388891,-52034.81075,-13.90331882,-19.80783332,,,,,,,,,
